brand,archetype,state,municipality,locality,n,n_with_nn,nn_p10_m,nn_p25_m,nn_p50_m,nn_p75_m,nn_p90_m,nn_mean_m,mean_sisters_within_250m,pct_with_any_sister_within_250m,mean_sisters_within_500m,pct_with_any_sister_within_500m,mean_sisters_within_800m,pct_with_any_sister_within_800m,mean_sisters_within_1000m,pct_with_any_sister_within_1000m,mean_sisters_within_1500m,pct_with_any_sister_within_1500m,mean_sisters_within_2000m,pct_with_any_sister_within_2000m,mean_sisters_within_3000m,pct_with_any_sister_within_3000m,pct_nn_le_10m,pct_nn_le_25m,pct_nn_le_60m,profile_sample_n_ge_30
Farmacias Guadalajara,farmacia,Jalisco,Guadalajara,Guadalajara,116,116,66.3180491805116,279.2996058847061,579.2282990083022,778.4516778069527,1000.9729087596473,562.8859153735432,0.3103448275862069,23.275862068965516,0.9051724137931034,43.10344827586207,2.0344827586206895,79.3103448275862,2.9741379310344827,89.65517241379311,6.922413793103448,97.41379310344827,12.21551724137931,100.0,25.56896551724138,100.0,3.4482758620689653,6.896551724137931,10.344827586206897,YES
Farmacias Guadalajara,farmacia,Guanajuato,León,León de los Aldama,91,91,269.75039149230906,551.4459567517746,749.181573480975,1087.6843503366522,1442.0446433188893,886.0562482835298,0.13186813186813187,9.89010989010989,0.21978021978021978,18.681318681318682,0.7692307692307693,53.84615384615385,1.2087912087912087,68.13186813186813,3.3846153846153846,91.20879120879121,6.131868131868132,95.6043956043956,13.648351648351648,96.7032967032967,4.395604395604396,4.395604395604396,6.593406593406593,YES
Farmacias Guadalajara,farmacia,Jalisco,Zapopan,Zapopan,86,86,79.88837070668463,457.12898459236,682.0486381027856,1032.7679189355686,1242.7300728663304,717.1138026931073,0.13953488372093023,13.953488372093023,0.3372093023255814,32.55813953488372,0.8604651162790697,53.48837209302326,1.4186046511627908,73.25581395348837,3.744186046511628,100.0,6.337209302325581,100.0,14.034883720930232,100.0,6.976744186046512,9.30232558139535,9.30232558139535,YES
Farmacias Guadalajara,farmacia,Puebla,Puebla,Heroica Puebla de Zaragoza,66,66,185.562191717333,507.9345248640678,732.4947435302687,1151.6762662257938,1542.0755024073958,842.1717274855605,0.15151515151515152,13.636363636363637,0.24242424242424243,19.696969696969695,0.6666666666666666,51.515151515151516,0.8787878787878788,59.09090909090909,2.303030303030303,89.39393939393939,4.212121212121212,96.96969696969697,10.121212121212121,100.0,3.0303030303030303,3.0303030303030303,6.0606060606060606,YES
Farmacias Guadalajara,farmacia,Nuevo León,Monterrey,Monterrey,56,56,434.13884328192216,641.7219629708811,849.3003157500763,1116.5780764937235,1620.827710343438,965.4171273854508,0.07142857142857142,7.142857142857143,0.14285714285714285,14.285714285714286,0.42857142857142855,35.714285714285715,0.8928571428571429,62.5,2.2142857142857144,83.92857142857143,3.8035714285714284,96.42857142857143,7.482142857142857,98.21428571428571,3.5714285714285716,3.5714285714285716,3.5714285714285716,YES
Farmacias Guadalajara,farmacia,Querétaro,Querétaro,Santiago de Querétaro,55,55,390.04322393629894,601.6077528508039,709.2387928442105,1095.3991455074574,1353.1362278723354,822.7331399299719,0.03636363636363636,3.6363636363636362,0.18181818181818182,16.363636363636363,0.8363636363636363,60.0,1.4727272727272727,69.0909090909091,3.909090909090909,94.54545454545455,6.509090909090909,100.0,12.472727272727273,100.0,0.0,0.0,0.0,YES
Farmacias Guadalajara,farmacia,Sinaloa,Culiacán,Culiacán Rosales,46,46,84.4850770629038,507.91015989190737,815.5346029063245,1221.3331821404088,1482.0191980108534,901.5423515675586,0.13043478260869565,13.043478260869565,0.21739130434782608,21.73913043478261,0.5652173913043478,47.82608695652174,0.9565217391304348,65.21739130434783,2.347826086956522,91.30434782608695,4.3478260869565215,93.47826086956522,9.0,100.0,8.695652173913043,8.695652173913043,8.695652173913043,YES
Farmacias Guadalajara,farmacia,Chihuahua,Chihuahua,Chihuahua,40,40,12.946545408394071,630.6835719248361,1042.493788801978,1606.7848343562307,1956.1597789016207,1141.3108870082856,0.15,15.0,0.2,20.0,0.5,45.0,0.55,47.5,1.45,72.5,3.15,95.0,6.25,97.5,10.0,15.0,15.0,YES
Farmacias Guadalajara,farmacia,Sonora,Hermosillo,Hermosillo,40,40,122.12567778408057,555.5499884734485,1115.5296121414112,1288.2099961808083,1637.3683249959367,1007.0966544724519,0.15,15.0,0.2,17.5,0.45,35.0,0.85,47.5,2.1,85.0,3.6,95.0,8.35,100.0,5.0,10.0,10.0,YES
Farmacias Guadalajara,farmacia,Yucatán,Mérida,Mérida,40,40,643.8756529368334,746.0432750009641,960.984732090746,1400.5458925642351,1897.8423640838441,1182.4613787734484,0.0,0.0,0.05,5.0,0.35,35.0,0.6,50.0,2.25,82.5,3.6,90.0,7.2,97.5,0.0,0.0,0.0,YES
Farmacias Guadalajara,farmacia,Aguascalientes,Aguascalientes,Aguascalientes,39,39,104.88830441445648,580.5946441757948,1276.5864720663233,1578.792701266951,1781.8175572652324,1115.4706663274249,0.20512820512820512,17.94871794871795,0.41025641025641024,25.641025641025642,0.46153846153846156,25.641025641025642,0.6153846153846154,35.8974358974359,1.794871794871795,69.23076923076923,3.6666666666666665,94.87179487179488,7.897435897435898,100.0,0.0,0.0,5.128205128205129,YES
Farmacias Guadalajara,farmacia,San Luis Potosí,San Luis Potosí,San Luis Potosí,39,39,437.2522209910346,588.6398393532223,863.6447565818212,1107.6961393794452,1399.955099706625,908.6542061016353,0.0,0.0,0.20512820512820512,17.94871794871795,0.5128205128205128,41.02564102564103,1.2564102564102564,69.23076923076923,3.2051282051282053,94.87179487179488,4.794871794871795,97.43589743589743,10.64102564102564,100.0,0.0,0.0,0.0,YES
Farmacias Guadalajara,farmacia,Tamaulipas,Reynosa,Reynosa,39,39,93.42201638686826,519.2842736389136,784.1221730827216,1113.520723564408,1405.3267811528674,859.5955521167527,0.15384615384615385,15.384615384615385,0.2564102564102564,25.641025641025642,0.6153846153846154,56.41025641025641,0.8205128205128205,66.66666666666667,2.0,89.74358974358974,3.282051282051282,92.3076923076923,6.256410256410256,100.0,5.128205128205129,5.128205128205129,10.256410256410257,YES
