brand,archetype,id,name,category,source_universe,lat,lng,state,municipality,locality,density_proxy_3x3_001deg,density_stratum,nearest_m,n_within_250m,n_within_500m,n_within_800m,n_within_1000m,n_within_1500m,n_within_2000m,n_within_3000m
Farmacias Guadalajara,farmacia,DENUE_12329110,FARMACIAS GUADALAJARA SUC 2834,farmacia,seen_prod_denue,32.47132561,-116.86093189,Baja California,Tijuana,Tijuana,834,Q3_media_alta,0.0,1,1,1,1,1,1,3
Farmacias Guadalajara,farmacia,DENUE_12329213,FARMACIAS GUADALAJARA SUC 2764,farmacia,seen_prod_denue,32.47132561,-116.86093189,Baja California,Tijuana,Tijuana,834,Q3_media_alta,0.0,1,1,1,1,1,1,3
Farmacias Guadalajara,farmacia,DENUE_6356528,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.25233895,-99.61354336,México,Metepec,Metepec,1521,Q4_alta,0.0,1,1,1,1,2,4,6
Farmacias Guadalajara,farmacia,DENUE_6357849,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.25233895,-99.61354336,México,Metepec,Metepec,1521,Q4_alta,0.0,1,1,1,1,2,4,6
Farmacias Guadalajara,farmacia,DENUE_11768382,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.71594485,-99.13932386,México,Melchor Ocampo,Melchor Ocampo,884,Q3_media_alta,0.045251419534166504,1,1,1,1,1,2,2
Farmacias Guadalajara,farmacia,DENUE_6351609,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.71594448,-99.13932404,México,Melchor Ocampo,Melchor Ocampo,884,Q3_media_alta,0.045251419534166504,1,1,1,1,1,2,2
Farmacias Guadalajara,farmacia,DENUE_6701090,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.99575527,-101.28860705,Guanajuato,Guanajuato,Marfil,402,Q2_media_baja,0.10241798606137394,1,1,1,1,2,2,4
Farmacias Guadalajara,farmacia,DENUE_6846138,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.99575612,-101.28860743,Guanajuato,Guanajuato,Marfil,402,Q2_media_baja,0.10241798606137394,1,1,1,1,2,2,4
Farmacias Guadalajara,farmacia,DENUE_6866618,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.10578238,-96.15254353,Veracruz de Ignacio de la Llave,Medellín de Bravo,Fraccionamiento Puente Moreno,440,Q2_media_baja,0.12060785926786168,2,2,2,2,3,3,3
Farmacias Guadalajara,farmacia,DENUE_9324243,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.10578269,-96.15254463,Veracruz de Ignacio de la Llave,Medellín de Bravo,Fraccionamiento Puente Moreno,440,Q2_media_baja,0.12060785926786168,2,2,2,2,3,3,3
Farmacias Guadalajara,farmacia,DENUE_9419375,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.74701575,-88.70718801,Quintana Roo,José María Morelos,José María Morelos,380,Q1_baja,0.12498427874622016,6,6,6,6,6,6,6
Farmacias Guadalajara,farmacia,DENUE_9463804,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,19.74701498,-88.70718714,Quintana Roo,José María Morelos,José María Morelos,380,Q1_baja,0.12498427874622016,6,6,6,6,6,6,6
Farmacias Guadalajara,farmacia,DENUE_6383176,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.38624083,-99.9951241,Querétaro,San Juan del Río,San Juan del Río,1639,Q4_alta,0.2628456242086687,1,2,4,5,5,6,7
Farmacias Guadalajara,farmacia,DENUE_9439023,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.38624135,-99.99512656,Querétaro,San Juan del Río,San Juan del Río,1639,Q4_alta,0.2628456242086687,1,2,4,5,5,6,7
Farmacias Guadalajara,farmacia,DENUE_12329235,FARMACIAS GUADALAJARA SUC 2792,farmacia,c2_recovered,19.38596864,-99.05345298,Ciudad de México,Iztapalapa,Iztapalapa,2235,Q4_alta,0.2838634362841249,1,1,1,2,3,3,4
Farmacias Guadalajara,farmacia,DENUE_12329239,FARMACIAS GUADALAJARA SUC 2919,farmacia,c2_recovered,19.38596718,-99.05345076,Ciudad de México,Iztapalapa,Iztapalapa,2235,Q4_alta,0.2838634362841249,1,1,1,2,3,3,4
Farmacias Guadalajara,farmacia,DENUE_6419041,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,18.14260318,-94.5008121,Veracruz de Ignacio de la Llave,Coatzacoalcos,Coatzacoalcos,699,Q2_media_baja,0.35723314058317224,1,1,1,1,1,2,3
Farmacias Guadalajara,farmacia,DENUE_9423668,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,18.14260604,-94.50081364,Veracruz de Ignacio de la Llave,Coatzacoalcos,Coatzacoalcos,699,Q2_media_baja,0.35723314058317224,1,1,1,1,1,2,3
Farmacias Guadalajara,farmacia,DENUE_9444676,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,21.1654534,-86.82983218,Quintana Roo,Benito Juárez,Cancún,1243,Q3_media_alta,0.4142448790572441,1,1,2,3,3,3,4
Farmacias Guadalajara,farmacia,DENUE_9446025,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,21.16545078,-86.82982934,Quintana Roo,Benito Juárez,Cancún,1243,Q3_media_alta,0.4142448790572441,1,1,2,3,3,3,4
Farmacias Guadalajara,farmacia,DENUE_6345286,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,24.01994065,-104.64785382,Durango,Durango,Victoria de Durango,1712,Q4_alta,0.48142419098438505,1,1,1,1,2,5,11
Farmacias Guadalajara,farmacia,DENUE_9410509,FARMACIA GUADALAJARA,farmacia,seen_prod_denue,24.01994064,-104.64785856,Durango,Durango,Victoria de Durango,1712,Q4_alta,0.48142419098438505,1,1,1,1,2,5,11
Farmacias Guadalajara,farmacia,DENUE_6394722,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,27.49172235,-109.93877405,Sonora,Cajeme,Ciudad Obregón,1681,Q4_alta,0.4972395520941159,1,1,1,4,5,10,14
Farmacias Guadalajara,farmacia,DENUE_9445794,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,27.49172226,-109.93876901,Sonora,Cajeme,Ciudad Obregón,1681,Q4_alta,0.4972395520941159,1,1,1,4,5,10,14
Farmacias Guadalajara,farmacia,DENUE_6780618,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,31.69300541,-106.40455255,Chihuahua,Juárez,Juárez,540,Q2_media_baja,0.6074302520609093,1,1,1,1,2,2,4
Farmacias Guadalajara,farmacia,DENUE_6782093,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,31.69301082,-106.40455166,Chihuahua,Juárez,Juárez,540,Q2_media_baja,0.6074302520609093,1,1,1,1,2,2,4
Farmacias Guadalajara,farmacia,DENUE_6338491,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.29189613,-103.20159204,Jalisco,Chapala,Chapala,448,Q2_media_baja,0.621592779936698,1,1,1,1,1,2,2
Farmacias Guadalajara,farmacia,DENUE_9323451,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.29189613,-103.20158608,Jalisco,Chapala,Chapala,448,Q2_media_baja,0.621592779936698,1,1,1,1,1,2,2
Farmacias Guadalajara,farmacia,DENUE_6339487,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.49284893,-103.41767893,Jalisco,Tlajomulco de Zúñiga,Lomas del Sur,431,Q2_media_baja,0.6234243736993258,1,1,1,1,2,2,2
Farmacias Guadalajara,farmacia,DENUE_8967382,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.49285452,-103.41767939,Jalisco,Tlajomulco de Zúñiga,Lomas del Sur,431,Q2_media_baja,0.6234243736993258,1,1,1,1,2,2,2
Farmacias Guadalajara,farmacia,DENUE_6301482,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,25.51516623,-103.39182965,Coahuila de Zaragoza,Torreón,Torreón,1257,Q3_media_alta,0.6273908292570164,1,1,1,1,3,3,9
Farmacias Guadalajara,farmacia,DENUE_9445071,FARMACIA GUADALAJARA,farmacia,seen_prod_denue,25.5151703,-103.39182532,Coahuila de Zaragoza,Torreón,Torreón,1257,Q3_media_alta,0.6273908292570164,1,1,1,1,3,3,9
Farmacias Guadalajara,farmacia,DENUE_6704582,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,25.68575092,-100.2928189,Nuevo León,Monterrey,Monterrey,931,Q3_media_alta,0.6682824198424477,1,1,1,1,1,2,6
Farmacias Guadalajara,farmacia,DENUE_6801367,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,25.68575626,-100.29282196,Nuevo León,Monterrey,Monterrey,931,Q3_media_alta,0.6682824198424477,1,1,1,1,1,2,6
Farmacias Guadalajara,farmacia,DENUE_6291269,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,28.65330554,-106.09896834,Chihuahua,Chihuahua,Chihuahua,1001,Q3_media_alta,0.7608210760157118,1,1,1,1,3,7,11
Farmacias Guadalajara,farmacia,DENUE_9466233,FARMACIA GUADALAJARA,farmacia,seen_prod_denue,28.65331187,-106.0989713,Chihuahua,Chihuahua,Chihuahua,1001,Q3_media_alta,0.7608210760157118,1,1,1,1,3,7,11
Farmacias Guadalajara,farmacia,DENUE_9415822,FARMACIA GUADALAJARA,farmacia,seen_prod_denue,20.65007612,-103.7009415,Jalisco,Tala,Tala,823,Q3_media_alta,0.8416152271995092,2,2,3,3,3,3,3
Farmacias Guadalajara,farmacia,DENUE_9468566,FARMACIA GUADALAJARA,farmacia,seen_prod_denue,20.65006857,-103.70094207,Jalisco,Tala,Tala,823,Q3_media_alta,0.8416152271995092,2,2,3,3,3,3,3
Farmacias Guadalajara,farmacia,DENUE_8967350,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,32.48239277,-114.77747992,Sonora,San Luis Río Colorado,San Luis Río Colorado,647,Q2_media_baja,0.8803606138867749,1,1,1,1,3,3,6
Farmacias Guadalajara,farmacia,DENUE_9289198,FARMACIA GUADALAJARA,farmacia,seen_prod_denue,32.48239011,-114.77747108,Sonora,San Luis Río Colorado,San Luis Río Colorado,647,Q2_media_baja,0.8803606138867749,1,1,1,1,3,3,6
Farmacias Guadalajara,farmacia,DENUE_6337114,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.701368,-103.41521666,Jalisco,Zapopan,Zapopan,328,Q1_baja,0.9535780846499086,1,1,1,1,4,4,10
Farmacias Guadalajara,farmacia,DENUE_6337785,FARMACIAS GUADALAJARA,farmacia,seen_prod_denue,20.70137624,-103.41521412,Jalisco,Zapopan,Zapopan,328,Q1_baja,0.9535780846499086,1,1,1,1,4,4,10
